"","id","material","side","family","tribe","genus","species","type","image","image2","color","bw","complete","corrupt","user","origin","location","accession","date","active","user_modify","user_date"
"67",134,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2630","",1,1,1,0,"BLC","NMB","NMB","12408","2019-10-03 11:25:16",1,"JD","2020-10-19 18:45:46"
"68",136,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2631","",1,1,1,0,"BLC","NMB","NMB","12408","2019-10-01 14:25:34",1,"JD","2020-10-19 18:45:52"
"69",138,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2632","",1,1,-2,0,"BLC","NMB","NMB","12408","2019-10-01 14:08:12",1,"JD","2020-06-29 23:05:22"
"70",140,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2634","",1,1,-2,0,"BLC","NMB","NMB","12322","2019-10-03 11:25:44",1,"JD","2020-10-19 18:45:57"
"71",142,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2635","",1,1,1,0,"BLC","NMB","NMB","12322","2019-10-01 14:26:01",1,"JD","2020-10-19 18:46:00"
"72",144,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2636","",1,1,1,0,"BLC","NMB","NMB","12322","2019-10-01 14:08:45",1,"JD","2020-06-29 23:05:33"
"73",146,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2638","",1,1,1,0,"BLC","NMB","NMB","12562","2019-10-03 11:26:27",1,"JD","2020-10-19 18:46:08"
"74",148,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2639","",1,1,1,0,"BLC","NMB","NMB","12562","2019-10-01 14:26:33",1,"JD","2020-10-19 18:46:11"
"75",150,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2640","",1,1,1,0,"BLC","NMB","NMB","12562","2019-10-01 14:09:19",1,"JD","2020-06-29 23:06:13"
"76",152,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2642","",1,1,-2,0,"BLC","NMB","NMB","12057","2019-10-03 11:26:58",1,"JD","2020-10-19 18:46:16"
"77",154,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2643","",1,1,1,0,"BLC","NMB","NMB","12057","2019-10-01 14:27:02",1,"JD","2020-10-19 18:46:18"
"78",156,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2644","",1,1,1,0,"BLC","NMB","NMB","12057","2019-10-01 14:09:51",1,"JD","2020-06-29 23:06:23"
"79",158,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2646","",1,1,1,0,"BLC","NMB","NMB","8770","2019-10-03 11:27:30",1,"JD","2020-10-19 18:46:23"
"80",160,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2647","",1,1,1,0,"BLC","NMB","NMB","8770","2019-10-01 14:27:45",1,"JD","2020-10-19 18:46:27"
"81",162,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2648","",1,1,-1,0,"BLC","","NMB","8770","2019-10-01 14:10:25",0,"JD","2020-06-29 23:07:42"
"82",164,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2649","",1,1,1,0,"BLC","NMB","NMB","2945","2019-10-03 11:28:03",1,"JD","2020-10-19 18:46:33"
"83",166,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2650","",1,1,1,0,"BLC","NMB","NMB","2945","2019-10-01 14:28:30",1,"JD","2020-10-19 18:46:36"
"84",168,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2651","",1,1,1,0,"BLC","NMB","NMB","2945","2019-10-01 14:10:56",1,"JD","2020-06-29 23:14:37"
"85",170,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2652","",1,1,1,0,"BLC","NMB","NMB","8814","2019-10-03 11:28:38",1,"JD","2020-10-19 18:46:41"
"86",172,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2653","",1,1,1,0,"BLC","NMB","NMB","8814","2019-10-01 14:29:23",1,"JD","2020-10-19 18:46:46"
"87",174,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2654","",1,1,-1,0,"BLC","","NMB","8814","2019-10-01 14:11:28",0,"JD","2020-06-29 23:15:01"
"88",176,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2656","",1,1,1,0,"BLC","NMB","NMB","8777","2019-10-03 11:29:23",1,"JD","2020-10-19 18:47:00"
"89",178,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2657","",1,1,1,0,"BLC","NMB","NMB","8777","2019-10-01 14:30:01",1,"JD","2020-10-19 18:47:03"
"90",180,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2658","",1,1,-1,0,"BLC","","NMB","8777","2019-10-01 14:12:01",0,"JD","2020-10-19 18:47:06"
"91",182,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2660","",1,1,1,0,"BLC","NMB","NMB","8776","2019-10-03 11:32:54",1,"JD","2020-10-19 18:47:18"
"92",184,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2661","",1,1,1,0,"BLC","NMB","NMB","8776","2019-10-01 14:30:36",1,"JD","2020-10-19 18:47:22"
"93",186,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2662","",1,1,-1,0,"BLC","","NMB","8776","2019-10-01 14:12:31",0,"JD","2020-10-19 18:47:26"
"94",188,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2664","",1,1,1,0,"BLC","NMB","NMB","8771","2019-10-03 11:33:27",1,"JD","2020-10-19 18:47:35"
"95",190,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2665","",1,1,1,0,"BLC","NMB","NMB","8771","2019-10-01 14:31:15",1,"JD","2020-10-19 18:47:37"
"96",192,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2666","",1,1,-1,0,"BLC","","NMB","8771","2019-10-01 14:13:07",0,"JD","2020-10-19 18:47:51"
"97",194,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2668","",1,1,1,0,"BLC","NMB","NMB","9413","2019-10-03 11:33:56",1,"JD","2021-03-19 15:31:52 EDT"
"98",196,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2669","",1,1,1,0,"BLC","NMB","NMB","9413","2019-10-01 14:31:43",1,"JD","2020-10-19 18:48:06"
"99",198,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2670","",1,1,0,0,"BLC","NMB","NMB","9413","2019-10-01 14:13:36",1,"JD","2020-10-19 18:48:10"
"100",200,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2671","",1,1,-2,0,"BLC","NMB","NMB","8853","2019-10-03 11:34:27",1,"JD","2020-10-19 18:48:19"
"101",202,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2672","",1,1,1,0,"BLC","NMB","NMB","8853","2019-10-01 14:32:17",1,"JD","2020-10-19 18:48:24"
"102",204,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2673","",1,1,-1,0,"BLC","","NMB","8853","2019-10-01 14:14:09",0,"JD","2020-10-19 18:49:06"
"103",206,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2674","",1,1,1,0,"BLC","NMB","NMB","1596","2019-10-03 11:34:58",1,"JD","2020-10-19 18:49:38"
"104",208,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2675","",1,1,1,0,"BLC","NMB","NMB","1596","2019-10-01 14:32:45",1,"JD","2020-10-19 18:49:40"
"105",210,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2676","",1,1,-2,0,"BLC","NMB","NMB","1596","2019-10-01 14:14:37",1,"JD","2020-10-19 18:49:42"
"106",212,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2677","",1,1,1,0,"BLC","NMB","NMB","8773","2019-10-03 11:47:49",1,"JD","2020-10-19 18:49:54"
"107",214,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2678","",1,1,1,0,"BLC","NMB","NMB","8773","2019-10-01 14:33:13",1,"JD","2020-10-19 18:49:56"
"108",216,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2679","",1,1,-2,0,"BLC","NMB","NMB","8773","2019-10-01 14:15:06",1,"JD","2020-10-19 18:49:58"
"109",218,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2680","",1,1,1,0,"BLC","NMB","NMB","6011","2019-10-03 11:48:18",1,"JD","2020-10-19 18:50:06"
"110",220,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2681","",1,1,1,0,"BLC","NMB","NMB","6011","2019-10-01 14:33:42",1,"JD","2020-10-19 18:50:08"
"111",222,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2682","",1,1,-2,0,"BLC","NMB","NMB","6011","2019-10-01 14:15:34",1,"JD","2020-10-19 18:50:10"
"112",224,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2684","",1,1,1,0,"BLC","NMB","NMB","9411","2019-10-03 11:48:47",1,"JD","2020-10-19 18:50:20"
"113",226,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2685","",1,1,1,0,"BLC","NMB","NMB","9411","2019-10-01 14:34:12",1,"JD","2020-10-19 18:50:22"
"114",228,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2686","",1,1,-1,0,"BLC","","NMB","9411","2019-10-01 14:16:13",0,"JD","2020-10-19 18:50:30"
"115",230,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2688","",1,1,-2,0,"BLC","NMB","NMB","12418","2019-10-03 11:49:17",1,"JD","2020-10-19 18:50:48"
"116",232,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2689","",1,1,1,0,"BLC","NMB","NMB","12418","2019-10-01 14:34:41",1,"JD","2020-10-19 18:50:50"
"117",234,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2690","",1,1,1,0,"BLC","NMB","NMB","12418","2019-10-01 14:16:43",1,"JD","2020-10-19 18:50:52"
"118",236,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2692","",1,1,1,0,"BLC","NMB","NMB","12392","2019-10-03 11:49:47",1,"JD","2020-10-19 18:51:11"
"119",238,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2693","",1,1,1,0,"BLC","NMB","NMB","12392","",1,"JD","2020-10-19 18:51:39"
"120",240,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2694","",1,0,-1,-1,"BLC","","NMB","","2019-10-01 14:17:10",0,"JKB","2020-06-23 19:47:53"
"121",242,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2696","",1,1,1,0,"BLC","NMB","NMB","12378","2019-10-03 11:50:16",1,"JKB","2020-06-24 20:16:25"
"122",244,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2697","",1,1,1,0,"BLC","NMB","NMB","12378","",1,"JD","2020-10-19 18:51:57"
"123",246,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2698","",1,1,1,0,"BLC","NMB","NMB","12378","2019-10-01 14:17:41",1,"JD","2020-10-19 18:52:00"
"124",248,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2700","",1,1,-2,1,"BLC","NMB","NMB","12056","2019-10-03 12:38:23",1,"JD","2020-10-19 18:52:42"
"125",250,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2701","",1,1,1,0,"BLC","NMB","NMB","12056","2019-10-03 12:22:30",1,"JD","2020-10-19 18:52:45"
"126",252,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2702","",1,1,1,1,"BLC","NMB","NMB","12056","2019-10-03 12:05:25",1,"JD","2020-10-19 18:52:48"
"127",254,"Extant","L","Bovidae","Alcelaphini","Connochaetes","taurinus","UM3","DSCN2704","",1,1,-1,0,"BLC","","NMB","12208","2019-10-22 13:18:58",0,"CLC","2021-03-01 18:44:36 EST"
"128",256,"Extant","L","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2705","",1,1,-1,0,"BLC","","NMB","12208","2019-10-22 12:55:37",0,"CLC","2021-03-01 18:24:21 EST"
"129",258,"Extant","L","Bovidae","Alcelaphini","Connochaetes","taurinus","UM1","DSCN2706","",1,1,-1,0,"BLC","","NMB","12208","2019-10-22 12:27:51",0,"CLC","2021-03-01 18:17:38 EST"
"130",260,"Extant","L","Bovidae","Alcelaphini","Connochaetes","taurinus","UM3","DSCN2708","",1,1,1,0,"BLC","NMB","NMB","12202","2019-10-22 13:19:34",1,"JD","2020-10-19 18:53:34"
